Thursday,06,March,2014,22:42:51
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'001,,,,Group B:,'031,,,,Group C:,'118
,,Engine Speed,Coolant,Lambda Control,Basic Setting,,Lambda Control,Lambda Control,Bin. Bits,Bin. Bits,,Engine Speed,Intake Air,Boost Pressure,Boost Pressure
,TIME,(G28),Temperature (G62),Bank 1,Requirements,TIME,Bank 1 (actual),Bank 1 (specified),,,TIME,(G28),Temperature (G42),Control (N75),(actual)
Marker,STAMP, /min,°C,%,,STAMP,,,,,STAMP, /min,°C,%, mbar
,0.01,760,75.0,3.1,00111110,0.29,1.008,1.000,        ,        ,0.60,760,45.0,0.0,1000.0
,0.90,760,75.0,-0.8,00111110,1.20,1.008,1.000,        ,        ,1.50,720,45.0,0.0,1000.0
,1.80,760,75.0,-1.6,00111110,2.10,0.992,1.000,        ,        ,2.41,760,45.0,0.0,1000.0
,2.71,720,75.0,-2.3,00111110,3.01,0.992,1.000,        ,        ,3.35,760,45.0,0.0,1000.0
,3.61,720,75.0,-2.3,00111110,3.91,1.000,1.000,        ,        ,4.22,760,45.0,0.0,1000.0
,4.52,720,75.0,1.6,00111110,4.83,1.000,1.000,        ,        ,5.12,720,45.0,0.0,1000.0
,5.42,720,75.0,1.6,00111110,5.72,1.000,1.000,        ,        ,6.03,720,45.0,0.0,1000.0
,6.33,720,75.0,1.6,00111110,6.63,1.008,1.000,        ,        ,6.93,720,45.0,0.0,1000.0
,7.23,760,75.0,1.6,00111110,7.53,1.000,1.000,        ,        ,7.84,720,45.0,0.0,1000.0
,8.15,760,75.0,-3.1,00111110,8.44,0.992,1.000,        ,        ,8.74,760,45.0,0.0,1000.0
,9.04,760,75.0,-3.9,00111110,9.35,0.992,1.000,        ,        ,9.65,760,45.0,0.0,1000.0
,9.95,720,75.0,-3.9,00111110,10.25,0.992,1.000,        ,        ,10.55,760,45.0,0.0,1000.0
,10.85,720,75.0,-3.9,00111110,11.16,1.000,1.000,        ,        ,11.46,720,45.0,0.0,1000.0
,11.76,720,75.0,0.0,00111110,12.07,1.000,1.000,        ,        ,12.36,760,45.0,0.0,1000.0
,12.66,720,75.0,0.0,00111110,12.98,1.000,1.000,        ,        ,13.27,720,45.0,0.0,1000.0
,13.57,760,75.0,0.0,00111110,13.88,1.000,1.000,        ,        ,14.17,720,45.0,0.0,1000.0
,14.47,760,75.0,-0.8,00111110,14.78,1.008,1.000,        ,        ,15.08,720,45.0,0.0,1000.0
,15.39,760,75.0,-4.7,00111110,15.68,1.008,1.000,        ,        ,15.98,760,45.0,0.0,1000.0
,16.28,760,75.0,-3.9,00111110,16.59,1.008,1.000,        ,        ,16.89,760,45.0,0.0,1000.0
,17.19,760,75.0,-3.9,00111110,17.49,0.992,1.000,        ,        ,17.80,720,45.0,0.0,1000.0
,18.09,720,75.0,-4.7,00111110,18.40,1.000,1.000,        ,        ,18.71,720,45.0,0.0,1000.0
,19.00,720,75.0,0.0,00111110,19.31,1.000,1.000,        ,        ,19.60,720,45.0,0.0,1000.0
,19.91,720,75.0,0.0,00111110,20.21,1.000,1.000,        ,        ,20.51,720,45.0,0.0,1000.0
,20.81,720,75.0,-0.8,00111110,21.11,1.008,1.000,        ,        ,21.41,720,44.0,0.0,1000.0
,21.72,760,75.0,0.0,00111110,22.02,1.008,1.000,        ,        ,22.32,720,44.0,0.0,1000.0
,22.62,760,75.0,-3.9,00111110,22.92,1.008,1.000,        ,        ,23.22,720,44.0,0.0,1000.0
,23.53,760,75.0,-4.7,00111110,23.83,0.992,1.000,        ,        ,24.14,760,44.0,0.0,1000.0
,24.43,720,75.0,-4.7,00111110,24.73,0.992,1.000,        ,        ,25.03,760,44.0,0.0,1000.0
,25.34,720,75.0,-4.7,00111110,25.64,0.992,1.000,        ,        ,25.94,720,44.0,0.0,1000.0
,26.24,720,75.0,0.0,00111110,26.54,1.000,1.000,        ,        ,26.84,760,44.0,0.0,1000.0
,27.15,720,75.0,0.0,00111110,27.45,1.008,1.000,        ,        ,27.75,720,44.0,0.0,1000.0
,28.05,720,75.0,0.0,00111110,28.36,1.008,1.000,        ,        ,28.66,720,44.0,0.0,1000.0
,28.96,760,76.0,0.0,00111110,29.27,1.008,1.000,        ,        ,29.56,720,44.0,0.0,1000.0
,29.86,760,75.0,-3.9,00111110,30.16,1.008,1.000,        ,        ,30.47,760,44.0,0.0,1000.0
,30.77,760,76.0,-3.9,00111110,31.07,1.000,1.000,        ,        ,31.37,760,44.0,0.0,1000.0
,31.68,760,76.0,-3.9,00111110,31.97,1.000,1.000,        ,        ,32.28,760,44.0,0.0,1000.0
,32.58,720,76.0,-3.9,00111110,32.88,1.000,1.000,        ,        ,33.18,760,44.0,0.0,1000.0
,33.48,720,76.0,0.8,00111110,33.78,1.008,1.000,        ,        ,34.10,760,44.0,0.0,1000.0
,34.39,720,76.0,0.8,00111110,34.69,1.008,1.000,        ,        ,34.99,720,44.0,0.0,1000.0
1,35.29,720,76.0,0.8,00111110,35.60,1.008,1.000,        ,        ,35.90,720,44.0,0.0,1000.0
,36.20,760,76.0,0.8,00111110,36.51,1.008,1.000,        ,        ,36.80,720,44.0,0.0,1000.0
,37.10,760,76.0,-3.1,00111110,37.41,1.000,1.000,        ,        ,37.71,1000,44.0,0.0,1000.0
,38.01,1320,76.0,-4.7,00101110,38.31,0.922,1.000,        ,        ,38.61,1480,43.0,0.0,1000.0
,38.91,1480,76.0,-15.6,00101110,39.21,0.969,0.961,        ,        ,39.53,1440,42.0,0.0,1000.0
,39.83,1440,76.0,-10.2,00101110,40.13,0.984,0.953,        ,        ,40.42,1440,42.0,0.0,1000.0
,40.72,1440,76.0,-7.0,00101110,41.03,0.961,0.953,        ,        ,41.33,1480,42.0,0.0,1000.0
,41.63,1480,75.0,-7.0,00101110,41.94,0.953,0.953,        ,        ,42.24,1480,42.0,0.0,1000.0
,42.53,1480,75.0,-6.3,00101110,42.84,0.961,0.953,        ,        ,43.14,1480,42.0,0.0,1000.0
,43.45,1480,75.0,-5.5,00101110,43.75,0.953,0.953,        ,        ,44.04,1520,42.0,0.0,1000.0
,44.34,1560,75.0,-5.5,00101110,44.65,0.953,0.953,        ,        ,44.96,1560,42.0,0.0,1000.0
,45.25,1600,75.0,-5.5,00101110,45.55,0.961,0.953,        ,        ,45.86,1600,42.0,0.0,1000.0
,46.16,1640,75.0,-4.7,00101110,46.47,0.953,0.953,        ,        ,46.76,1640,41.0,0.0,1000.0
,47.06,1680,75.0,-5.5,00101110,47.36,0.953,0.953,        ,        ,47.66,1680,41.0,0.0,1000.0
,47.96,1680,75.0,-5.5,00101110,48.27,0.953,0.953,        ,        ,48.57,1680,41.0,0.0,1000.0
,48.88,1680,75.0,-4.7,00101110,49.18,0.953,0.953,        ,        ,49.47,1720,41.0,0.0,1000.0
,49.78,1720,75.0,-5.5,00101110,50.09,0.953,0.953,        ,        ,50.38,1680,41.0,0.0,1000.0
,50.68,1680,75.0,-5.5,00101110,50.98,0.969,0.953,        ,        ,51.29,1600,40.0,0.0,1000.0
,51.60,1600,75.0,-3.1,00101110,51.89,0.961,0.953,        ,        ,52.20,1600,40.0,0.0,1000.0
,52.50,1600,75.0,-3.9,00101110,52.80,0.938,0.953,        ,        ,53.09,1600,40.0,0.0,1000.0
,53.40,1600,75.0,-4.7,00101110,53.71,0.953,0.953,        ,        ,54.01,1600,40.0,0.0,1000.0
,54.31,1560,75.0,-4.7,00101110,54.61,0.953,0.953,        ,        ,54.91,1560,40.0,0.0,1000.0
,55.22,1560,75.0,-3.9,00101110,55.52,0.953,0.953,        ,        ,55.81,1560,40.0,0.0,1000.0
,56.11,1560,75.0,-4.7,00101110,56.41,0.945,0.953,        ,        ,56.72,1560,40.0,0.0,1000.0
,57.02,1560,75.0,-5.5,00101110,57.33,0.953,0.953,        ,        ,57.63,1560,40.0,0.0,1000.0
,57.92,1560,75.0,-4.7,00101110,58.23,0.953,0.953,        ,        ,58.53,1560,40.0,0.0,1000.0
,58.84,1560,75.0,-5.5,00101110,59.14,0.961,0.953,        ,        ,59.43,1560,40.0,0.0,1000.0
,59.73,1560,75.0,-4.7,00101110,60.04,0.953,0.953,        ,        ,60.35,1560,40.0,0.0,1000.0
,60.65,1560,75.0,-5.5,00101110,60.95,0.953,0.953,        ,        ,61.24,1560,40.0,0.0,1000.0
,61.54,1560,75.0,-4.7,00101110,61.85,0.953,0.953,        ,        ,62.16,1560,40.0,0.0,1000.0
2,62.46,1560,75.0,-5.5,00101110,62.76,0.953,0.953,        ,        ,63.05,1560,40.0,0.0,1000.0
,63.35,1600,75.0,-5.5,00101110,63.66,0.945,1.000,        ,        ,63.96,1720,40.0,0.0,1000.0
,64.26,1840,75.0,-9.4,00101010,64.56,0.977,1.000,        ,        ,64.86,1920,39.0,0.0,1000.0
,65.16,2000,75.0,-9.4,00101000,65.47,1.008,1.000,        ,        ,65.78,2040,39.0,0.0,1000.0
,66.08,2080,74.0,-11.7,00101000,66.37,1.008,1.000,        ,        ,66.68,2120,39.0,0.0,1000.0
,66.98,2160,74.0,-10.2,00101000,67.28,1.008,1.000,        ,        ,67.59,2160,39.0,0.0,1000.0
,67.89,2160,74.0,-10.9,00101000,68.19,1.016,1.000,        ,        ,68.49,2160,39.0,0.0,1000.0
,68.78,2120,74.0,-8.6,00101000,69.09,1.023,1.000,        ,        ,69.39,2120,39.0,0.0,1000.0
,69.70,2080,74.0,-3.9,00101100,70.00,1.000,0.961,        ,        ,70.30,2080,39.0,0.0,1000.0
,70.60,2080,74.0,-4.7,00101100,70.91,0.969,0.953,        ,        ,71.20,2080,39.0,0.0,1000.0
,71.51,2080,74.0,-4.7,00101100,71.81,0.945,0.953,        ,        ,72.11,2080,39.0,0.0,1000.0
,72.40,2080,74.0,-6.3,00101100,72.72,0.961,0.961,        ,        ,73.02,2080,39.0,0.0,1000.0
,73.32,2080,74.0,-11.7,00101100,73.62,1.000,1.000,        ,        ,73.91,2040,39.0,0.0,1000.0
,74.22,2040,74.0,-5.5,00101100,74.53,0.977,0.953,        ,        ,74.82,2040,39.0,0.0,1000.0
,75.13,2040,74.0,-4.7,00101100,75.43,0.945,1.000,        ,        ,75.73,2080,39.0,0.0,1000.0
,76.03,2040,74.0,-10.9,00101100,76.33,1.016,1.000,        ,        ,76.63,2040,39.0,0.0,1000.0
,76.93,2000,74.0,-5.5,00101100,77.24,0.992,0.953,        ,        ,77.54,2040,39.0,0.0,1000.0
,77.83,2040,73.0,-3.9,00101100,78.14,0.938,0.953,        ,        ,78.45,2040,39.0,0.0,1000.0
,78.75,2080,74.0,-5.5,00101100,79.05,0.953,0.953,        ,        ,79.35,2080,39.0,0.0,1000.0
,79.65,2080,74.0,-4.7,00101100,79.96,0.953,0.953,        ,        ,80.25,2080,39.0,0.0,1000.0
,80.55,2080,74.0,-5.5,00101100,80.86,0.953,0.969,        ,        ,81.16,2080,39.0,0.0,1000.0
3,81.47,2080,74.0,-9.4,00101100,81.77,0.992,1.000,        ,        ,82.07,2040,39.0,0.0,1000.0
,82.37,2040,74.0,-2.3,00101100,82.66,0.961,0.961,        ,        ,82.97,2080,39.0,0.0,1000.0
,83.27,2120,74.0,-10.9,00101000,83.58,1.008,1.000,        ,        ,83.87,2240,39.0,0.0,1000.0
,84.17,2280,74.0,-6.3,00101000,84.48,1.016,1.000,        ,        ,84.77,2360,39.0,0.0,1000.0
,85.09,2360,74.0,-5.5,00101000,85.38,0.992,1.000,        ,        ,85.69,2400,39.0,0.0,1000.0
,85.99,2400,74.0,-5.5,00101000,86.29,0.992,1.000,        ,        ,86.59,2400,38.0,0.0,1000.0
,86.90,2400,74.0,-4.7,00101000,87.20,0.992,1.000,        ,        ,87.50,2440,38.0,0.0,1000.0
,87.79,2480,74.0,-8.6,00101000,88.10,0.992,1.000,        ,        ,88.40,2480,38.0,0.0,1000.0
,88.70,2520,74.0,-7.8,00101000,89.01,1.000,1.000,        ,        ,89.31,2520,38.0,0.0,1000.0
,89.60,2520,74.0,-8.6,00101000,89.91,1.008,1.000,        ,        ,90.21,2560,37.0,0.0,1000.0
,90.52,2560,74.0,-7.8,00101000,90.82,1.008,1.000,        ,        ,91.12,2600,37.0,0.0,1000.0
,91.42,2600,74.0,-3.1,00101000,91.72,1.008,1.000,        ,        ,92.02,2680,37.0,0.0,1000.0
,92.33,2680,74.0,-2.3,00101000,92.63,0.992,1.000,        ,        ,92.93,2680,37.0,0.0,1000.0
,93.23,2680,74.0,-3.1,00101000,93.53,0.992,1.000,        ,        ,93.83,2600,37.0,0.0,1000.0
,94.14,2560,74.0,-1.6,00101000,94.44,0.992,1.000,        ,        ,94.74,2480,37.0,0.0,1000.0
,95.04,2480,74.0,-4.7,00101000,95.34,0.984,1.000,        ,        ,95.65,2440,37.0,0.0,1000.0
,95.95,2480,74.0,-5.5,00101000,96.25,0.992,1.000,        ,        ,96.54,2520,37.0,0.0,1000.0
,96.85,2520,74.0,-7.0,00101000,97.15,0.992,1.000,        ,        ,97.46,2320,37.0,0.0,1000.0
,97.75,2000,74.0,0.0,00110100,98.05,1.991,1.047,        ,        ,98.36,1320,37.0,0.0,1010.0
,98.65,1160,74.0,0.0,00110110,98.96,1.616,0.961,        ,        ,99.26,1040,38.0,0.0,1000.0
,99.56,960,74.0,1.6,00111110,99.86,1.031,1.000,        ,        ,100.16,840,39.0,0.0,1000.0
,100.46,800,75.0,4.7,00111110,100.76,0.992,1.000,        ,        ,101.07,760,39.0,0.0,1000.0
4,101.37,760,75.0,2.3,00111110,101.67,0.984,1.000,        ,        ,101.97,760,39.0,0.0,1000.0
,102.27,760,75.0,-3.1,00111110,102.57,0.992,1.000,        ,        ,102.88,760,39.0,0.0,1000.0
,103.18,760,75.0,-3.1,00111110,103.48,1.000,1.000,        ,        ,103.78,760,39.0,0.0,1000.0
,104.08,760,75.0,-2.3,00111110,104.38,1.008,1.000,        ,        ,104.69,760,40.0,0.0,1000.0
,104.99,720,75.0,-2.3,00111110,105.29,1.008,1.000,        ,        ,105.59,760,40.0,0.0,1000.0
,105.89,760,75.0,2.3,00111110,106.21,1.000,1.000,        ,        ,106.50,760,40.0,0.0,1000.0
,106.80,760,75.0,2.3,00111110,107.10,1.008,1.000,        ,        ,107.40,760,40.0,0.0,1000.0
,107.70,760,75.0,2.3,00111110,108.01,1.008,1.000,        ,        ,108.31,760,40.0,0.0,1000.0
,108.61,760,75.0,2.3,00111110,108.91,1.008,1.000,        ,        ,109.21,760,40.0,0.0,1000.0
,109.51,760,75.0,-1.6,00111110,109.82,1.000,1.000,        ,        ,110.12,760,40.0,0.0,1000.0
,110.42,760,75.0,-1.6,00111110,110.72,1.000,1.000,        ,        ,111.02,760,40.0,0.0,1000.0
,111.32,760,75.0,-1.6,00111110,111.64,0.992,1.000,        ,        ,111.93,760,40.0,0.0,1000.0
