Thursday,06,March,2014,22:53:59
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'001,,,,Group B:,'031,,,,Group C:,'118
,,Engine Speed,Coolant,Lambda Control,Basic Setting,,Lambda Control,Lambda Control,Bin. Bits,Bin. Bits,,Engine Speed,Intake Air,Boost Pressure,Boost Pressure
,TIME,(G28),Temperature (G62),Bank 1,Requirements,TIME,Bank 1 (actual),Bank 1 (specified),,,TIME,(G28),Temperature (G42),Control (N75),(actual)
Marker,STAMP, /min,°C,%,,STAMP,,,,,STAMP, /min,°C,%, mbar
,0.01,760,85.0,-0.8,01111111,0.29,0.984,1.000,        ,        ,0.59,760,29.0,0.0,980.0
,0.89,720,85.0,-0.8,01111111,1.19,0.992,1.000,        ,        ,1.49,760,29.0,0.0,980.0
,1.80,720,85.0,-0.8,01111111,2.10,0.992,1.000,        ,        ,2.40,760,29.0,0.0,980.0
,2.70,720,85.0,3.9,01111111,3.00,0.992,1.000,        ,        ,3.30,840,29.0,0.0,980.0
,3.61,1040,85.0,3.9,01111111,3.92,0.992,1.000,        ,        ,4.21,880,29.0,0.0,980.0
,4.51,800,85.0,2.3,01111111,4.81,0.992,1.000,        ,        ,5.11,760,29.0,0.0,980.0
,5.42,720,85.0,3.9,01111111,5.72,0.992,1.000,        ,        ,6.02,720,29.0,0.0,980.0
,6.32,760,85.0,-1.6,01111111,6.62,0.969,1.000,        ,        ,6.93,720,29.0,0.0,980.0
,7.23,720,85.0,-3.9,01111111,7.53,0.969,1.000,        ,        ,7.83,760,30.0,0.0,980.0
,8.13,720,85.0,-4.7,01111111,8.44,0.992,1.000,        ,        ,8.73,760,30.0,0.0,980.0
,9.04,720,86.0,-4.7,01111111,9.34,0.992,1.000,        ,        ,9.64,760,30.0,0.0,980.0
,9.95,720,86.0,-0.8,01111111,10.24,1.008,1.000,        ,        ,10.54,1240,30.0,0.0,980.0
,10.86,1360,86.0,2.3,01101011,11.16,0.977,1.000,        ,        ,11.46,1360,29.0,0.0,990.0
,11.75,1320,86.0,1.6,01101011,12.06,0.992,1.000,        ,        ,12.36,1320,29.0,0.0,1000.0
,12.67,1280,86.0,0.8,01101011,12.97,0.984,1.000,        ,        ,13.26,1160,28.0,0.0,1010.0
,13.57,1320,86.0,-5.5,01101011,13.87,0.992,1.000,        ,        ,14.18,1640,27.0,0.0,1010.0
,14.48,1840,86.0,-7.0,01101011,14.77,1.008,1.000,        ,        ,15.08,2200,27.0,0.0,1040.0
,15.38,2360,86.0,-6.3,01101001,15.68,1.016,1.000,        ,        ,15.99,2560,26.0,0.0,1070.0
,16.29,2360,86.0,-4.7,01111001,16.59,0.961,1.000,        ,        ,16.89,1920,26.0,0.0,1010.0
,17.19,1560,86.0,-3.1,01101011,17.49,1.023,1.000,        ,        ,17.79,1720,26.0,0.0,1000.0
,18.10,1760,86.0,1.6,01101011,18.40,0.992,1.000,        ,        ,18.70,1880,26.0,0.0,1030.0
,18.99,1960,86.0,2.3,01101011,19.30,0.984,1.000,        ,        ,19.61,2080,25.0,0.0,1050.0
,19.91,2120,86.0,1.6,01101001,20.21,1.016,1.000,        ,        ,20.51,2200,25.0,0.0,1030.0
,20.81,2200,86.0,4.7,01101001,21.10,1.000,1.000,        ,        ,21.42,2240,25.0,0.0,1010.0
,21.72,2240,86.0,3.9,01101001,22.02,0.977,1.000,        ,        ,22.32,2320,26.0,0.0,1020.0
,22.62,2360,86.0,3.9,01101001,22.92,0.977,1.000,        ,        ,23.23,2360,26.0,0.0,1020.0
,23.53,2360,86.0,3.1,01101001,23.83,0.984,1.000,        ,        ,24.12,2400,26.0,0.0,1000.0
,24.43,2400,86.0,5.5,01101001,24.74,0.992,1.000,        ,        ,25.04,2440,26.0,0.0,1010.0
,25.34,2440,86.0,6.3,01101001,25.64,0.992,1.000,        ,        ,25.94,2480,26.0,0.0,1010.0
,26.24,2480,86.0,2.3,01101001,26.55,0.992,1.000,        ,        ,26.85,2520,26.0,0.0,1010.0
,27.15,2560,86.0,2.3,01101001,27.45,1.000,1.000,        ,        ,27.75,2600,26.0,0.0,1010.0
,28.05,2600,86.0,3.1,01101001,28.36,1.008,1.000,        ,        ,28.66,2640,26.0,0.0,1010.0
,28.96,2720,86.0,3.9,01100001,29.26,0.961,1.000,        ,        ,29.56,2960,26.0,95.3,1280.0
,29.86,3200,86.0,0.0,01100001,30.21,0.953,0.953,        ,        ,30.47,3840,24.0,63.1,2080.0
,30.77,4120,86.0,3.1,01101001,31.07,0.945,0.953,        ,        ,31.37,4680,21.0,60.0,1840.0
,31.67,4960,86.0,3.9,01101001,31.98,0.953,0.953,        ,        ,32.28,5520,21.0,63.5,1880.0
,32.58,5760,86.0,3.9,01101001,32.88,0.961,0.953,        ,        ,33.18,6320,22.0,60.8,1970.0
,33.48,6520,86.0,3.1,01101001,33.79,0.953,0.953,        ,        ,34.10,6760,23.0,0.0,1710.0
,34.39,6320,86.0,0.0,01110001,34.69,0.883,0.953,        ,        ,34.99,5000,23.0,0.0,1110.0
,35.30,4720,86.0,0.0,01110001,35.60,1.842,1.047,        ,        ,35.90,4560,24.0,0.0,1040.0
,36.20,4520,86.0,0.0,01110001,36.50,1.991,1.047,        ,        ,36.80,4400,24.0,0.0,1020.0
,37.11,4360,86.0,0.0,01110001,37.41,1.991,1.047,        ,        ,37.71,4280,26.0,0.0,1020.0
,38.01,4000,86.0,0.0,01110001,38.31,1.991,1.047,        ,        ,38.61,3160,26.0,0.0,1020.0
,38.91,3120,86.0,0.0,01110001,39.22,1.991,1.047,        ,        ,39.52,3080,27.0,0.0,1010.0
,39.82,3040,85.0,0.0,01110001,40.11,1.991,1.047,        ,        ,40.42,3000,27.0,0.0,1010.0
,40.73,2960,85.0,0.0,01110001,41.03,1.991,1.047,        ,        ,41.33,2920,27.0,0.0,1010.0
,41.62,2920,85.0,0.0,01110001,41.93,1.991,1.047,        ,        ,42.23,2880,27.0,0.0,1010.0
,42.53,2840,85.0,0.0,01110001,42.84,1.991,1.047,        ,        ,43.14,2840,27.0,0.0,1010.0
,43.44,2800,84.0,0.0,01110001,43.74,1.991,1.047,        ,        ,44.03,2800,27.0,0.0,1010.0
,44.34,2760,84.0,0.0,01110001,44.64,1.991,1.047,        ,        ,44.94,2720,27.0,0.0,1010.0
,45.25,2680,84.0,0.0,01110001,45.54,1.991,1.047,        ,        ,45.84,2640,27.0,0.0,1010.0
,46.16,2640,84.0,0.0,01110001,46.46,1.991,1.047,        ,        ,46.76,2600,27.0,0.0,1010.0
,47.05,2560,84.0,0.0,01110101,47.36,1.991,1.047,        ,        ,47.66,2520,27.0,0.0,1010.0
,47.96,2520,83.0,0.0,01110101,48.26,1.991,1.047,        ,        ,48.56,2480,27.0,0.0,1010.0
,48.87,2440,83.0,0.0,01110101,49.16,1.991,1.047,        ,        ,49.48,2400,27.0,0.0,1010.0
,49.77,2360,82.0,0.0,01110101,50.07,1.991,1.047,        ,        ,50.38,2360,27.0,0.0,1010.0
,50.67,2280,82.0,0.0,01110101,50.97,1.991,1.047,        ,        ,51.28,2120,27.0,0.0,1010.0
,51.58,2040,82.0,0.0,01110101,51.89,1.991,1.047,        ,        ,52.18,1840,27.0,0.0,1000.0
,52.48,1720,81.0,0.0,01110111,52.78,1.991,1.047,        ,        ,53.10,1440,28.0,0.0,1000.0
,53.39,1320,81.0,0.0,01110111,53.69,1.991,1.000,        ,        ,53.99,920,29.0,0.0,990.0
,54.29,840,81.0,0.0,01110111,54.59,1.647,0.945,        ,        ,54.90,800,29.0,0.0,990.0
,55.20,800,81.0,0.0,01110111,55.50,1.047,0.945,        ,        ,55.80,760,29.0,0.0,990.0
,56.10,760,81.0,4.7,01111111,56.40,0.945,0.945,        ,        ,56.72,760,29.0,0.0,990.0
,57.01,760,81.0,1.6,01111111,57.31,0.922,0.945,        ,        ,57.61,720,29.0,0.0,980.0
,57.91,720,81.0,-0.8,01111111,58.23,0.938,0.945,        ,        ,58.52,760,29.0,0.0,980.0
,58.82,760,81.0,-1.6,01111111,59.12,0.945,0.945,        ,        ,59.42,760,29.0,0.0,980.0
,59.72,760,81.0,-1.6,01111111,60.04,0.945,0.945,        ,        ,60.33,760,29.0,0.0,980.0
,60.63,720,81.0,-2.3,01111111,60.93,0.938,0.945,        ,        ,61.23,720,29.0,0.0,980.0
,61.53,760,81.0,-3.1,01111111,61.85,0.953,0.945,        ,        ,62.15,760,29.0,0.0,980.0
,62.44,720,81.0,-3.1,01111111,62.74,0.953,0.945,        ,        ,63.04,760,29.0,0.0,980.0
,63.35,720,81.0,-3.1,01111111,63.65,0.953,0.945,        ,        ,63.95,720,29.0,0.0,980.0
,64.25,720,81.0,-3.1,01111111,64.55,0.945,0.945,        ,        ,64.85,760,29.0,0.0,980.0
